GEOID,NAME,total_household14E,total_household14M,house_alone14E,house_alone14M,med_hh_inc14E,med_hh_inc14M
"24510271001","Census Tract 2710.01, Baltimore city, Maryland",872,64,297,75,34265,4345
"24005404201","Census Tract 4042.01, Baltimore County, Maryland",2299,118,349,126,63870,13823
"24005402505","Census Tract 4025.05, Baltimore County, Maryland",1334,55,634,116,49722,9751
"24005402604","Census Tract 4026.04, Baltimore County, Maryland",2107,117,607,177,62438,18361
"24005403601","Census Tract 4036.01, Baltimore County, Maryland",2014,67,641,98,86797,12978
"24005404502","Census Tract 4045.02, Baltimore County, Maryland",1500,89,440,117,53162,7909
"24005404800","Census Tract 4048, Baltimore County, Maryland",728,33,86,41,127500,14973
"24005406000","Census Tract 4060, Baltimore County, Maryland",1932,85,242,91,99474,13205
"24005408800","Census Tract 4088, Baltimore County, Maryland",986,89,241,82,81250,11943
"24005410100","Census Tract 4101, Baltimore County, Maryland",1951,154,275,87,130625,18210
"24005402302","Census Tract 4023.02, Baltimore County, Maryland",1820,89,332,110,68431,14439
"24005400600","Census Tract 4006, Baltimore County, Maryland",1134,90,403,82,70556,7233
"24005440200","Census Tract 4402, Baltimore County, Maryland",1022,75,355,91,61197,5154
"24005420900","Census Tract 4209, Baltimore County, Maryland",1457,101,545,107,35996,7890
"24005421101","Census Tract 4211.01, Baltimore County, Maryland",1322,97,590,112,41182,7144
"24005421200","Census Tract 4212, Baltimore County, Maryland",704,53,221,56,53837,7119
"24005440900","Census Tract 4409, Baltimore County, Maryland",1437,54,430,116,44985,7796
"24005441102","Census Tract 4411.02, Baltimore County, Maryland",1787,103,437,98,63187,6805
"24005450503","Census Tract 4505.03, Baltimore County, Maryland",2065,139,637,169,45875,11995
"24005450800","Census Tract 4508, Baltimore County, Maryland",1409,119,506,94,40545,10082
"24005451900","Census Tract 4519, Baltimore County, Maryland",961,58,354,104,56977,7264
"24005490302","Census Tract 4903.02, Baltimore County, Maryland",1273,70,653,101,57536,9953
"24005490400","Census Tract 4904, Baltimore County, Maryland",680,52,212,53,114167,48922
"24005490500","Census Tract 4905, Baltimore County, Maryland",1449,67,360,98,119471,31063
"24005490603","Census Tract 4906.03, Baltimore County, Maryland",944,59,394,71,97717,8910
"24005490703","Census Tract 4907.03, Baltimore County, Maryland",1385,73,581,92,96607,17048
"24005450100","Census Tract 4501, Baltimore County, Maryland",1581,80,514,107,50823,7412
"24005450400","Census Tract 4504, Baltimore County, Maryland",759,53,198,52,65987,7996
"24005451600","Census Tract 4516, Baltimore County, Maryland",984,36,327,84,60938,9320
"24005490601","Census Tract 4906.01, Baltimore County, Maryland",787,55,175,45,99837,9859
"24005490900","Census Tract 4909, Baltimore County, Maryland",2232,142,990,203,50455,5816
"24005491201","Census Tract 4912.01, Baltimore County, Maryland",760,71,261,53,77500,13647
"24005492001","Census Tract 4920.01, Baltimore County, Maryland",598,50,175,53,56667,9024
"24005492101","Census Tract 4921.01, Baltimore County, Maryland",1614,88,617,122,54924,9030
"24005420702","Census Tract 4207.02, Baltimore County, Maryland",790,51,244,67,48167,18445
"24005420302","Census Tract 4203.02, Baltimore County, Maryland",985,42,235,66,56648,7823
"24005420500","Census Tract 4205, Baltimore County, Maryland",1277,95,429,100,49044,9587
"24005420701","Census Tract 4207.01, Baltimore County, Maryland",1163,81,303,86,45737,5692
"24005421300","Census Tract 4213, Baltimore County, Maryland",1174,119,451,105,30426,7339
"24005430200","Census Tract 4302, Baltimore County, Maryland",1033,88,272,90,44076,13829
"24005440701","Census Tract 4407.01, Baltimore County, Maryland",2395,153,673,187,60184,9612
"24005440702","Census Tract 4407.02, Baltimore County, Maryland",2216,157,790,173,63519,14547
"24005450200","Census Tract 4502, Baltimore County, Maryland",1288,69,382,83,55392,8268
"24005450504","Census Tract 4505.04, Baltimore County, Maryland",2487,164,1165,239,36913,5375
"24005400701","Census Tract 4007.01, Baltimore County, Maryland",1245,85,291,90,70099,10084
"24005401101","Census Tract 4011.01, Baltimore County, Maryland",2328,121,602,168,67500,6491
"24005401200","Census Tract 4012, Baltimore County, Maryland",1160,82,305,81,65722,11913
"24005401302","Census Tract 4013.02, Baltimore County, Maryland",1245,90,548,113,43750,11115
"24510260302","Census Tract 2603.02, Baltimore city, Maryland",2309,171,688,143,35131,7751
"24510260700","Census Tract 2607, Baltimore city, Maryland",853,79,215,64,37594,8223
"24510260900","Census Tract 2609, Baltimore city, Maryland",1257,101,593,134,78988,12611
"24510261000","Census Tract 2610, Baltimore city, Maryland",903,118,263,102,43029,7466
"24510270101","Census Tract 2701.01, Baltimore city, Maryland",618,67,130,58,68333,11388
"24510271900","Census Tract 2719, Baltimore city, Maryland",1505,102,537,118,53993,8247
"24510272003","Census Tract 2720.03, Baltimore city, Maryland",2068,131,836,170,61342,7977
"24005402303","Census Tract 4023.03, Baltimore County, Maryland",2560,153,480,134,71053,14395
"24005402306","Census Tract 4023.06, Baltimore County, Maryland",1512,87,510,89,48235,3590
"24005402506","Census Tract 4025.06, Baltimore County, Maryland",1424,87,346,98,74083,12993
"24005403801","Census Tract 4038.01, Baltimore County, Maryland",630,33,130,42,186875,19598
"24005420800","Census Tract 4208, Baltimore County, Maryland",1226,87,266,79,56346,11670
"24005430400","Census Tract 4304, Baltimore County, Maryland",1629,77,525,106,68417,9519
"24005430600","Census Tract 4306, Baltimore County, Maryland",892,43,202,55,79219,7792
"24005450300","Census Tract 4503, Baltimore County, Maryland",1319,76,422,101,56865,6049
"24005451701","Census Tract 4517.01, Baltimore County, Maryland",1049,62,313,103,62650,13818
"24005451801","Census Tract 4518.01, Baltimore County, Maryland",2006,119,532,198,70947,10687
"24005490100","Census Tract 4901, Baltimore County, Maryland",1536,76,215,81,132500,18705
"24005490200","Census Tract 4902, Baltimore County, Maryland",1063,55,252,66,86563,5496
"24005491100","Census Tract 4911, Baltimore County, Maryland",1389,69,300,82,95472,11326
"24005491202","Census Tract 4912.02, Baltimore County, Maryland",759,47,210,57,66382,9819
"24005491701","Census Tract 4917.01, Baltimore County, Maryland",1720,110,495,123,75292,9823
"24005400100","Census Tract 4001, Baltimore County, Maryland",2290,179,1284,181,55112,6374
"24005402201","Census Tract 4022.01, Baltimore County, Maryland",1222,58,223,90,101583,14848
"24005408100","Census Tract 4081, Baltimore County, Maryland",2406,101,677,160,106014,8282
"24005411303","Census Tract 4113.03, Baltimore County, Maryland",2582,129,986,216,62900,14352
"24005420402","Census Tract 4204.02, Baltimore County, Maryland",749,55,136,54,60972,11380
"24005452100","Census Tract 4521, Baltimore County, Maryland",1290,78,208,67,60117,9008
"24005400500","Census Tract 4005, Baltimore County, Maryland",809,46,117,45,143150,14285
"24005402202","Census Tract 4022.02, Baltimore County, Maryland",574,45,88,35,123088,8849
"24005403802","Census Tract 4038.02, Baltimore County, Maryland",1083,62,154,70,184531,17901
"24005408702","Census Tract 4087.02, Baltimore County, Maryland",1003,63,296,64,94063,22570
"24005440100","Census Tract 4401, Baltimore County, Maryland",1778,82,440,99,70500,6097
"24005421000","Census Tract 4210, Baltimore County, Maryland",844,59,380,60,28661,5912
"24005430101","Census Tract 4301.01, Baltimore County, Maryland",1408,109,375,110,43521,5159
"24510190300","Census Tract 1903, Baltimore city, Maryland",905,82,353,71,22625,9685
"24510250102","Census Tract 2501.02, Baltimore city, Maryland",1137,88,308,104,35748,3735
"24510250301","Census Tract 2503.01, Baltimore city, Maryland",809,75,210,64,34185,14640
"24510250401","Census Tract 2504.01, Baltimore city, Maryland",1259,123,233,83,32306,10869
"24510080700","Census Tract 807, Baltimore city, Maryland",329,60,144,60,23036,4323
"24510130805","Census Tract 1308.05, Baltimore city, Maryland",591,40,420,53,39097,16905
"24510210100","Census Tract 2101, Baltimore city, Maryland",994,92,387,81,52222,9661
"24510270701","Census Tract 2707.01, Baltimore city, Maryland",1195,65,486,104,38922,8842
"24510080600","Census Tract 806, Baltimore city, Maryland",854,95,307,71,29042,3784
"24510090400","Census Tract 904, Baltimore city, Maryland",683,67,332,74,26775,4889
"24510090700","Census Tract 907, Baltimore city, Maryland",1034,100,302,101,29915,11829
"24510120300","Census Tract 1203, Baltimore city, Maryland",1479,142,699,149,39713,6064
"24510120600","Census Tract 1206, Baltimore city, Maryland",1650,131,1262,163,13351,3431
"24005401503","Census Tract 4015.03, Baltimore County, Maryland",2692,96,650,150,91976,5595
"24005403602","Census Tract 4036.02, Baltimore County, Maryland",2321,91,675,137,79043,9411
